state,chr_release_year,unemployment_rate,pct_frequent_mental_distress,income_inequality,social_associations,pct_uninsured,drug_overdose_deaths,pct_excessive_drinking,pct_adult_smoking
Alabama,2019,4.396785169999999,14.54883116,5.238579235,12.242715851,10.7717996,15.941603447,14.17814586,21.5381544
Alabama,2020,3.93356691,15.82663382,5.2611357399,12.371924122,11.04478259,16.176762375,13.903515289999998,20.92735311
Alabama,2021,3.00055492,15.85646852,5.2381653052,12.320292414,11.88465474,16.214591182,14.89137764,19.98983096
Alabama,2022,5.87700638,18.28465548,5.157920311,12.155364319,11.59953796,17.481628657,14.79924765,21.092716
Alabama,2023,3.43902829,16.48429623,5.1766763312,11.910925297,11.82271569,17.481628657,16.14162693,19.5
Alaska,2019,7.1606952900000005,9.75442901,4.0309946299,11.308893184,15.51729447,17.881908238,19.12504204,19.0354082
Alaska,2020,6.587537760000001,11.89523462,4.1091340798,11.354496854,14.75762792,17.349164784,21.29393789,21.00785366
Alaska,2021,6.13897371,10.71115441,4.1607925043,11.282304411,13.913269,17.611548105,17.61088281,18.54598251
Alaska,2022,7.82810184,12.02979151,4.0640931649,11.523556309,12.6760631,18.271556232,18.14785009,17.32177599
Alaska,2023,6.38791219,9.93070671,4.1932968309,11.392886353,12.95865617,18.271556232,20.04469959,18.0
Arizona,2019,4.8695317199999995,11.8353243,4.6467128939,5.5676821086,11.93297486,20.158450814,17.28136271,14.71475109
Arizona,2020,4.83188061,12.50655324,4.5833229672,5.6639781536,12.10220861,21.705586542,16.70870284,15.555003009999998
Arizona,2021,4.69565864,12.76792596,4.5332181561,5.6095908805,12.80364877,23.799726767,18.126878830000003,14.48927785
Arizona,2022,7.90060778,14.97291861,4.4854002318,5.5916447912,13.591481320000002,28.013286903,17.3805594,15.62910521
Arizona,2023,4.89156231,13.992638669999998,4.4365280039,5.4571906302,13.48851258,28.013286903,17.39264492,13.7
Arkansas,2019,3.67983684,17.075158039999998,4.7863026975,12.080657295,9.40644043,13.811583471,15.92173489,23.58488517
Arkansas,2020,3.70241021,18.31754545,4.7742783505,12.14268049,9.3032678,14.334327595,15.80533385,22.28625875
Arkansas,2021,3.5486761399999995,16.70526321,4.7832718572,11.984770184,9.61174387,14.143570298,17.253907769999998,23.70825558
Arkansas,2022,6.05124865,18.49201512,4.7451646879,12.018673181,10.8164169,15.206102834,15.93922112,21.10430259
Arkansas,2023,4.02527333,18.72401645,4.7800392461,11.747151151,10.16613988,15.206102834,17.786342429999998,21.6
California,2019,4.758103269999999,10.56743928,5.2549626387,5.8257299608,8.379929,12.024778319,17.81262457,10.97292811
California,2020,4.20352659,10.79960925,5.2577127945,5.879607462,8.2071999,12.565094817,19.2207998,11.33626274
California,2021,4.03985189,11.2754709,5.1643253729,5.9053956128,8.34185402,13.839106734,18.1269825,11.47400749
California,2022,10.13801157,11.99810203,5.1420951773,5.966508136,8.93276532,17.269890529,18.79368726,10.09075769
California,2023,7.29923779,12.69061179,5.1396269418,6.0414430189,8.169805669999999,17.269890529,18.40291257,9.0
Colorado,2019,2.83517032,10.6872722,4.4327782647,8.6146759931,8.55923635,17.019715347,20.60369309,15.593331760000002
Colorado,2020,3.28152633,11.75874658,4.3830492738,8.7513201885,8.66753064,17.526295232,20.46852033,14.62950476
Colorado,2021,2.75244334,11.29570888,4.381465859,8.7875406193,8.76847033,18.105139222,21.27752758,14.67335961
Colorado,2022,7.26300642,12.44336965,4.3533424284,8.6407850612,9.41528797,20.658070183,20.1349105,13.56580105
Colorado,2023,5.36747992,13.09118114,4.3273974149,8.5420799457,9.88810238,20.658070183,20.2520917,12.6
Connecticut,2019,4.6763328600000005,11.20162302,5.0100429446,9.4115620733,5.769331660000001,26.432933706,18.37566878,13.34553388
Connecticut,2020,4.10656937,10.08980228,5.072007913,9.4894799152,6.27172757,28.983074983,17.11073048,12.73098058
Connecticut,2021,3.7294405,11.3203865,5.0794863563,9.362758613,6.21346516,31.278738215,20.46557381,12.53833597
Connecticut,2022,7.9037953,11.64670218,5.0413680884,9.2166493188,7.047961430000001,34.165632067,19.20875173,12.62480421
Connecticut,2023,6.25602463,13.50913809,5.1026058632,9.1284636574,5.431595270000001,34.165632067,17.42079275,12.6
Delaware,2019,4.59243741,11.67495203,4.4119188904,10.156869541,6.74633068,28.602018645,18.40834197,17.657678909999998
