state,year,subprime_pct,nearprime_pct,unscored_pct,credit_constrained_pct
Alabama,2014,23.325,13.95,14.525,51.8
Alabama,2015,23.075000000000003,13.4,14.95,51.375
Alabama,2016,22.75,12.8,15.75,51.275
Alabama,2017,22.55,12.375,16.275,51.2
Alabama,2018,22.1,12.275,15.950000000000001,50.375
Alabama,2019,22.05,11.9,17.65,51.6
Alabama,2020,20.65,12.025,18.775,51.375
Alabama,2021,18.375,12.3,18.975,49.65
Alabama,2022,18.25,11.85,18.375,48.5
Alabama,2023,18.15,11.625,17.7,47.475
Alaska,2014,12.925,12.2,13.6,38.7
Alaska,2015,12.825,11.65,13.674999999999999,38.175
Alaska,2016,12.775,10.95,13.7,37.425
Alaska,2017,12.875,10.45,13.85,37.175
Alaska,2018,12.575,10.275,13.375,36.25
Alaska,2019,12.15,10.225,14.45,36.775
Alaska,2020,10.725000000000001,9.875,15.45,36.1
Alaska,2021,8.85,9.65,15.175,33.675
Alaska,2022,8.299999999999999,9.05,13.925,31.325
Alaska,2023,8.625,8.95,14.175,31.8
Arizona,2014,16.85,14.65,13.025,44.55
Arizona,2015,16.349999999999998,13.6,13.525,43.5
Arizona,2016,16.125,12.475,13.875,42.475
Arizona,2017,15.55,11.6,14.7,41.85
Arizona,2018,15.35,11.05,14.075,40.45
Arizona,2019,15.425,10.75,15.3,41.5
Arizona,2020,13.825,10.825,15.975000000000001,40.650000000000006
Arizona,2021,11.525,10.825000000000001,15.8,38.15
Arizona,2022,11.625,10.350000000000001,15.55,37.575
Arizona,2023,12.275,10.025,15.375,37.675
Arkansas,2014,20.6,13.5,14.9,49.0
Arkansas,2015,20.675,12.9,15.175,48.8
Arkansas,2016,20.75,12.35,15.4,48.5
Arkansas,2017,21.175,11.975,15.25,48.4
Arkansas,2018,20.85,11.875,15.0,47.8
Arkansas,2019,20.5,11.675,17.05,49.225
Arkansas,2020,18.9,11.725,18.4,49.025
Arkansas,2021,16.325,12.075,18.775,47.15
Arkansas,2022,16.424999999999997,11.55,18.45,46.425
Arkansas,2023,16.325,11.375,17.775,45.45
California,2014,13.4,13.975000000000001,11.625,38.975
California,2015,12.875,12.85,11.875,37.575
California,2016,12.5,11.6,12.0,36.125
California,2017,12.55,10.8,12.524999999999999,35.875
California,2018,12.225,10.350000000000001,12.075,34.65
California,2019,12.3,9.975,13.2,35.45
California,2020,11.25,9.6,14.0,34.849999999999994
California,2021,9.1,9.5,14.225,32.825
California,2022,9.375,9.2,14.649999999999999,33.2
California,2023,10.05,8.9,14.525,33.5
Colorado,2014,12.425,11.85,12.125,36.4
Colorado,2015,12.1,11.1,12.149999999999999,35.35
