state,year,gvro,gvrolawenforcement,source_covers_year
Alabama,2014,0,0,True
Alabama,2015,0,0,True
Alabama,2016,0,0,True
Alabama,2017,0,0,True
Alabama,2018,0,0,True
Alabama,2019,0,0,True
Alabama,2020,0,0,True
Alabama,2021,,,False
Alabama,2022,,,False
Alabama,2023,,,False
Alaska,2014,0,0,True
Alaska,2015,0,0,True
Alaska,2016,0,0,True
Alaska,2017,0,0,True
Alaska,2018,0,0,True
Alaska,2019,0,0,True
Alaska,2020,0,0,True
Alaska,2021,,,False
Alaska,2022,,,False
Alaska,2023,,,False
Arizona,2014,0,0,True
Arizona,2015,0,0,True
Arizona,2016,0,0,True
Arizona,2017,0,0,True
Arizona,2018,0,0,True
Arizona,2019,0,0,True
Arizona,2020,0,0,True
Arizona,2021,,,False
Arizona,2022,,,False
Arizona,2023,,,False
Arkansas,2014,0,0,True
Arkansas,2015,0,0,True
Arkansas,2016,0,0,True
Arkansas,2017,0,0,True
Arkansas,2018,0,0,True
Arkansas,2019,0,0,True
Arkansas,2020,0,0,True
Arkansas,2021,,,False
Arkansas,2022,,,False
Arkansas,2023,,,False
California,2014,0,0,True
California,2015,0,0,True
California,2016,1,1,True
California,2017,1,1,True
California,2018,1,1,True
California,2019,1,1,True
California,2020,1,1,True
California,2021,,,False
California,2022,,,False
California,2023,,,False
Colorado,2014,0,0,True
Colorado,2015,0,0,True
Colorado,2016,0,0,True
Colorado,2017,0,0,True
Colorado,2018,0,0,True
Colorado,2019,1,1,True
Colorado,2020,1,1,True
Colorado,2021,,,False
Colorado,2022,,,False
Colorado,2023,,,False
Connecticut,2014,0,1,True
Connecticut,2015,0,1,True
Connecticut,2016,0,1,True
Connecticut,2017,0,1,True
Connecticut,2018,0,1,True
Connecticut,2019,0,1,True
Connecticut,2020,0,1,True
Connecticut,2021,,,False
Connecticut,2022,,,False
Connecticut,2023,,,False
Delaware,2014,0,0,True
Delaware,2015,0,0,True
Delaware,2016,0,0,True
Delaware,2017,0,0,True
Delaware,2018,1,1,True
Delaware,2019,1,1,True
Delaware,2020,1,1,True
Delaware,2021,,,False
Delaware,2022,,,False
Delaware,2023,,,False
Florida,2014,0,0,True
Florida,2015,0,0,True
Florida,2016,0,0,True
Florida,2017,0,0,True
Florida,2018,0,1,True
Florida,2019,0,1,True
Florida,2020,0,1,True
Florida,2021,,,False
Florida,2022,,,False
Florida,2023,,,False
Georgia,2014,0,0,True
Georgia,2015,0,0,True
Georgia,2016,0,0,True
Georgia,2017,0,0,True
Georgia,2018,0,0,True
Georgia,2019,0,0,True
Georgia,2020,0,0,True
Georgia,2021,,,False
Georgia,2022,,,False
Georgia,2023,,,False
Hawaii,2014,0,0,True
Hawaii,2015,0,0,True
Hawaii,2016,0,0,True
Hawaii,2017,0,0,True
Hawaii,2018,0,0,True
Hawaii,2019,0,0,True
Hawaii,2020,1,1,True
Hawaii,2021,,,False
Hawaii,2022,,,False
Hawaii,2023,,,False
Idaho,2014,0,0,True
Idaho,2015,0,0,True
Idaho,2016,0,0,True
Idaho,2017,0,0,True
Idaho,2018,0,0,True
Idaho,2019,0,0,True
Idaho,2020,0,0,True
Idaho,2021,,,False
Idaho,2022,,,False
Idaho,2023,,,False
Illinois,2014,0,0,True
Illinois,2015,0,0,True
Illinois,2016,0,0,True
Illinois,2017,0,0,True
Illinois,2018,0,0,True
Illinois,2019,1,1,True
Illinois,2020,1,1,True
Illinois,2021,,,False
Illinois,2022,,,False
Illinois,2023,,,False
Indiana,2014,0,1,True
Indiana,2015,0,1,True
Indiana,2016,0,1,True
Indiana,2017,0,1,True
Indiana,2018,0,1,True
Indiana,2019,0,1,True
Indiana,2020,0,1,True
Indiana,2021,,,False
Indiana,2022,,,False
Indiana,2023,,,False
Iowa,2014,0,0,True
Iowa,2015,0,0,True
Iowa,2016,0,0,True
Iowa,2017,0,0,True
Iowa,2018,0,0,True
Iowa,2019,0,0,True
Iowa,2020,0,0,True
Iowa,2021,,,False
Iowa,2022,,,False
Iowa,2023,,,False
Kansas,2014,0,0,True
Kansas,2015,0,0,True
Kansas,2016,0,0,True
Kansas,2017,0,0,True
Kansas,2018,0,0,True
Kansas,2019,0,0,True
Kansas,2020,0,0,True
Kansas,2021,,,False
Kansas,2022,,,False
Kansas,2023,,,False
Kentucky,2014,0,0,True
Kentucky,2015,0,0,True
Kentucky,2016,0,0,True
Kentucky,2017,0,0,True
Kentucky,2018,0,0,True
Kentucky,2019,0,0,True
Kentucky,2020,0,0,True
Kentucky,2021,,,False
Kentucky,2022,,,False
Kentucky,2023,,,False
Louisiana,2014,0,0,True
Louisiana,2015,0,0,True
Louisiana,2016,0,0,True
Louisiana,2017,0,0,True
Louisiana,2018,0,0,True
Louisiana,2019,0,0,True
Louisiana,2020,0,0,True
Louisiana,2021,,,False
Louisiana,2022,,,False
Louisiana,2023,,,False
Maine,2014,0,0,True
Maine,2015,0,0,True
Maine,2016,0,0,True
Maine,2017,0,0,True
Maine,2018,0,0,True
Maine,2019,0,0,True
Maine,2020,0,0,True
Maine,2021,,,False
Maine,2022,,,False
Maine,2023,,,False
Maryland,2014,0,0,True
