state,year,firearm_deaths,firearm_mortality_rate_aa
Alabama,2014,815,16.9
Alabama,2015,958,19.6
Alabama,2016,1046,21.5
Alabama,2017,1124,22.9
Alabama,2018,1064,21.8
Alabama,2019,1076,22.2
Alabama,2020,1141,23.6
Alabama,2021,1315,26.4
Alabama,2022,1278,25.5
Alabama,2023,1292,25.6
Alaska,2014,145,19.2
Alaska,2015,177,23.4
Alaska,2016,177,23.3
Alaska,2017,180,24.5
Alaska,2018,155,21.0
Alaska,2019,179,24.4
Alaska,2020,175,23.5
Alaska,2021,182,25.2
Alaska,2022,164,22.4
Alaska,2023,176,23.5
Arizona,2014,927,13.5
Arizona,2015,970,13.8
Arizona,2016,1094,15.2
Arizona,2017,1134,15.8
Arizona,2018,1147,15.3
Arizona,2019,1136,15.1
Arizona,2020,1265,16.7
Arizona,2021,1365,18.3
Arizona,2022,1535,20.1
Arizona,2023,1419,18.5
Arkansas,2014,496,16.6
Arkansas,2015,520,16.9
Arkansas,2016,541,17.8
Arkansas,2017,613,20.3
Arkansas,2018,573,18.9
Arkansas,2019,580,19.3
Arkansas,2020,673,22.6
Arkansas,2021,698,23.3
Arkansas,2022,666,21.9
Arkansas,2023,671,21.9
California,2014,2942,7.4
California,2015,3095,7.7
California,2016,3184,7.9
California,2017,3184,7.9
California,2018,3040,7.5
California,2019,2945,7.2
California,2020,3449,8.5
California,2021,3576,9.0
California,2022,3484,8.6
California,2023,3209,8.0
Colorado,2014,663,12.2
Colorado,2015,701,12.6
Colorado,2016,812,14.3
Colorado,2017,779,13.4
Colorado,2018,889,15.2
Colorado,2019,846,14.2
Colorado,2020,922,15.4
Colorado,2021,1064,17.8
Colorado,2022,1036,17.1
Colorado,2023,1019,16.6
Connecticut,2014,187,5.0
Connecticut,2015,189,5.3
Connecticut,2016,172,4.6
Connecticut,2017,188,5.1
Connecticut,2018,186,4.9
Connecticut,2019,190,5.3
Connecticut,2020,219,6.0
Connecticut,2021,248,6.7
Connecticut,2022,252,6.9
Connecticut,2023,225,6.2
Delaware,2014,102,11.1
Delaware,2015,112,12.1
Delaware,2016,111,11.0
Delaware,2017,111,11.7
