state,year,firearm_mortality_rate,firearm_homicide_rate,firearm_suicide_rate
Alabama,2019,21.9,9.9,11.1
Alabama,2020,22.7,11.2,10.8
Alabama,2021,26.0,12.9,12.3
Alabama,2022,25.2,12.3,12.1
Alabama,2023,25.3,12.4,12.1
Alabama,2024,23.7,11.0,12.2
Alaska,2019,24.5,7.0,16.0
Alaska,2020,23.9,3.7,18.1
Alaska,2021,24.8,4.2,19.3
Alaska,2022,22.4,5.6,15.5
Alaska,2023,24.0,6.4,16.4
Alaska,2024,24.8,4.5,19.2
Arizona,2019,15.6,3.9,11.1
Arizona,2020,17.6,5.3,11.5
Arizona,2021,18.8,5.9,12.1
Arizona,2022,20.8,6.7,13.3
Arizona,2023,19.1,5.5,12.8
Arizona,2024,17.9,4.4,12.6
Arkansas,2019,19.2,6.9,11.3
Arkansas,2020,22.3,9.4,12.1
Arkansas,2021,23.0,9.3,12.9
Arkansas,2022,21.9,9.5,11.2
Arkansas,2023,21.9,8.6,12.8
Arkansas,2024,20.8,6.9,13.1
California,2019,7.5,3.2,4.0
California,2020,8.7,4.4,3.9
California,2021,9.1,4.8,4.0
California,2022,8.9,4.3,4.3
California,2023,8.2,3.7,4.2
California,2024,7.3,3.1,3.9
Colorado,2019,14.7,2.8,11.2
Colorado,2020,15.9,4.1,11.3
Colorado,2021,18.3,4.7,12.8
Colorado,2022,17.7,5.2,11.8
Colorado,2023,17.3,4.4,12.3
Colorado,2024,16.4,3.6,12.1
Connecticut,2019,5.3,1.8,3.3
Connecticut,2020,6.1,2.8,3.0
Connecticut,2021,6.9,3.2,3.4
Connecticut,2022,7.0,3.2,3.7
Connecticut,2023,6.2,2.9,3.1
Connecticut,2024,6.2,1.9,4.1
Delaware,2019,9.6,4.6,4.6
Delaware,2020,13.6,7.7,5.8
Delaware,2021,15.7,8.0,7.6
Delaware,2022,12.2,4.7,7.3
Delaware,2023,12.0,4.2,7.4
Delaware,2024,11.9,4.8,6.9
Florida,2019,13.4,4.7,8.4
Florida,2020,14.1,5.7,8.0
Florida,2021,14.4,5.3,8.8
Florida,2022,14.5,5.3,8.9
Florida,2023,14.4,4.7,9.3
Florida,2024,14.1,3.9,9.9
Georgia,2019,16.0,6.5,9.0
Georgia,2020,17.7,8.4,8.7
Georgia,2021,20.4,9.5,10.3
Georgia,2022,19.8,9.5,9.6
Georgia,2023,18.8,8.1,10.1
Georgia,2024,18.0,7.4,10.1
Hawaii,2019,4.4,1.0,2.9
Hawaii,2020,3.4,1.1,2.1
Hawaii,2021,4.9,1.6,2.9
Hawaii,2022,4.6,1.3,3.1
Hawaii,2023,5.1,1.4,3.5
Hawaii,2024,3.9,1.4,2.2
Idaho,2019,14.3,1.0,12.5
Idaho,2020,17.4,1.4,15.0
Idaho,2021,16.2,1.5,13.8
Idaho,2022,17.4,2.0,14.7
Idaho,2023,18.1,1.7,15.5
Idaho,2024,16.8,1.3,14.6
Illinois,2019,10.8,6.2,4.3
Illinois,2020,13.6,9.1,4.2
Illinois,2021,15.7,10.2,5.2
Illinois,2022,14.3,8.7,5.4
Illinois,2023,13.5,7.7,5.5
Illinois,2024,12.5,6.9,5.2
Indiana,2019,14.2,5.3,8.5
Indiana,2020,17.1,7.3,9.0
Indiana,2021,18.4,7.6,10.2
Indiana,2022,17.7,6.8,10.1
Indiana,2023,18.3,6.4,11.0
Indiana,2024,17.4,5.5,11.2
Iowa,2019,9.3,1.6,7.4
Iowa,2020,11.0,2.6,8.1
Iowa,2021,11.4,2.0,9.2
Iowa,2022,11.5,2.0,9.0
Iowa,2023,10.6,2.3,8.3
Iowa,2024,12.1,2.1,9.9
Kansas,2019,13.8,3.4,10.0
Kansas,2020,16.8,5.4,10.7
Kansas,2021,17.1,4.9,11.7
Kansas,2022,16.8,4.3,11.9
Kansas,2023,16.2,4.7,10.9
Kansas,2024,15.2,4.2,10.7
Kentucky,2019,15.3,4.5,10.0
Kentucky,2020,20.0,7.6,11.5
Kentucky,2021,21.0,8.1,11.8
Kentucky,2022,18.6,6.3,11.7
Kentucky,2023,18.6,5.7,12.0
Kentucky,2024,19.2,5.9,12.6
Louisiana,2019,21.8,11.7,9.6
Louisiana,2020,25.4,16.1,8.7
Louisiana,2021,28.4,17.4,10.0
Louisiana,2022,27.6,16.1,10.6
Louisiana,2023,27.6,16.1,10.6
Louisiana,2024,22.5,12.3,9.7
Maine,2019,12.1,1.0,10.7
Maine,2020,11.2,1.1,9.7
Maine,2021,12.9,0.9,11.5
Maine,2022,12.9,1.4,11.2
Maine,2023,14.3,2.6,11.3
Maine,2024,13.0,1.1,11.2
Maryland,2019,12.5,7.7,4.4
Maryland,2020,13.0,8.5,4.3
Maryland,2021,14.8,9.6,5.0
Maryland,2022,13.2,8.7,4.4
Maryland,2023,11.9,7.5,4.3
Maryland,2024,11.6,6.5,4.9
Massachusetts,2019,3.6,1.4,2.1
Massachusetts,2020,3.8,1.9,1.9
Massachusetts,2021,3.5,1.4,1.9
Massachusetts,2022,3.8,1.5,2.1
Massachusetts,2023,3.9,1.7,2.1
Massachusetts,2024,4.1,1.4,2.6
Michigan,2019,12.2,4.6,7.4
Michigan,2020,14.4,6.7,7.6
Michigan,2021,15.4,7.0,8.1
Michigan,2022,15.0,6.4,8.4
Michigan,2023,13.8,5.2,8.3
Michigan,2024,12.2,4.0,8.0
Minnesota,2019,8.2,1.8,6.2
Minnesota,2020,9.0,2.4,6.2
Minnesota,2021,10.0,2.9,6.9
Minnesota,2022,9.8,2.5,7.0
Minnesota,2023,9.1,2.2,6.6
Minnesota,2024,10.1,2.5,7.3
Mississippi,2019,23.9,12.3,10.3
Mississippi,2020,27.6,16.9,9.4
Mississippi,2021,32.6,19.8,11.3
Mississippi,2022,28.9,17.4,10.2
Mississippi,2023,28.7,16.8,11.0
Mississippi,2024,27.6,16.0,10.6
Missouri,2019,20.4,8.7,11.1
Missouri,2020,23.2,11.1,11.4
Missouri,2021,22.9,9.9,12.1
Missouri,2022,24.1,10.2,13.0
Missouri,2023,21.4,8.5,12.0
Missouri,2024,19.9,7.4,11.8
Montana,2019,19.6,2.2,16.1
Montana,2020,21.9,3.0,17.4
Montana,2021,25.3,2.7,21.6
Montana,2022,24.4,3.5,19.7
Montana,2023,21.8,2.6,18.2
Montana,2024,21.8,2.2,18.7
Nebraska,2019,10.6,2.1,8.0
Nebraska,2020,10.0,2.5,7.1
Nebraska,2021,10.2,2.3,7.4
