state,year,party,source,retrieved,override
Alabama,2014,Republican,List of governors of Alabama,2026-08-13,no
Alabama,2015,Republican,List of governors of Alabama,2026-08-13,no
Alabama,2016,Republican,List of governors of Alabama,2026-08-13,no
Alabama,2017,Republican,List of governors of Alabama,2026-08-13,no
Alabama,2018,Republican,List of governors of Alabama,2026-08-13,no
Alabama,2019,Republican,List of governors of Alabama,2026-08-13,no
Alabama,2020,Republican,List of governors of Alabama,2026-08-13,no
Alabama,2021,Republican,List of governors of Alabama,2026-08-13,no
Alabama,2022,Republican,List of governors of Alabama,2026-08-13,no
Alabama,2023,Republican,List of governors of Alabama,2026-08-13,no
Alaska,2014,Republican,List of governors of Alaska,2026-08-13,no
Alaska,2015,Independent,List of governors of Alaska,2026-08-13,no
Alaska,2016,Independent,List of governors of Alaska,2026-08-13,no
Alaska,2017,Independent,List of governors of Alaska,2026-08-13,no
Alaska,2018,Independent,List of governors of Alaska,2026-08-13,no
Alaska,2019,Republican,List of governors of Alaska,2026-08-13,no
Alaska,2020,Republican,List of governors of Alaska,2026-08-13,no
Alaska,2021,Republican,List of governors of Alaska,2026-08-13,no
Alaska,2022,Republican,List of governors of Alaska,2026-08-13,no
Alaska,2023,Republican,List of governors of Alaska,2026-08-13,no
Arizona,2014,Republican,List of governors of Arizona,2026-08-13,no
Arizona,2015,Republican,List of governors of Arizona,2026-08-13,no
Arizona,2016,Republican,List of governors of Arizona,2026-08-13,no
Arizona,2017,Republican,List of governors of Arizona,2026-08-13,no
Arizona,2018,Republican,List of governors of Arizona,2026-08-13,no
Arizona,2019,Republican,List of governors of Arizona,2026-08-13,no
Arizona,2020,Republican,List of governors of Arizona,2026-08-13,no
Arizona,2021,Republican,List of governors of Arizona,2026-08-13,no
Arizona,2022,Republican,List of governors of Arizona,2026-08-13,no
Arizona,2023,Democratic,List of governors of Arizona,2026-08-13,no
Arkansas,2014,Democratic,List of governors of Arkansas,2026-08-13,no
Arkansas,2015,Republican,List of governors of Arkansas,2026-08-13,no
Arkansas,2016,Republican,List of governors of Arkansas,2026-08-13,no
Arkansas,2017,Republican,List of governors of Arkansas,2026-08-13,no
Arkansas,2018,Republican,List of governors of Arkansas,2026-08-13,no
Arkansas,2019,Republican,List of governors of Arkansas,2026-08-13,no
Arkansas,2020,Republican,List of governors of Arkansas,2026-08-13,no
Arkansas,2021,Republican,List of governors of Arkansas,2026-08-13,no
Arkansas,2022,Republican,List of governors of Arkansas,2026-08-13,no
Arkansas,2023,Republican,List of governors of Arkansas,2026-08-13,no
California,2014,Democratic,List of governors of California,2026-08-13,no
California,2015,Democratic,List of governors of California,2026-08-13,no
California,2016,Democratic,List of governors of California,2026-08-13,no
California,2017,Democratic,List of governors of California,2026-08-13,no
California,2018,Democratic,List of governors of California,2026-08-13,no
California,2019,Democratic,List of governors of California,2026-08-13,no
California,2020,Democratic,List of governors of California,2026-08-13,no
California,2021,Democratic,List of governors of California,2026-08-13,no
California,2022,Democratic,List of governors of California,2026-08-13,no
California,2023,Democratic,List of governors of California,2026-08-13,no
Colorado,2014,Democratic,List of governors of Colorado,2026-08-13,no
Colorado,2015,Democratic,List of governors of Colorado,2026-08-13,no
Colorado,2016,Democratic,List of governors of Colorado,2026-08-13,no
Colorado,2017,Democratic,List of governors of Colorado,2026-08-13,no
Colorado,2018,Democratic,List of governors of Colorado,2026-08-13,no
Colorado,2019,Democratic,List of governors of Colorado,2026-08-13,no
Colorado,2020,Democratic,List of governors of Colorado,2026-08-13,no
Colorado,2021,Democratic,List of governors of Colorado,2026-08-13,no
Colorado,2022,Democratic,List of governors of Colorado,2026-08-13,no
Colorado,2023,Democratic,List of governors of Colorado,2026-08-13,no
Connecticut,2014,Democratic,List of governors of Connecticut,2026-08-13,no
Connecticut,2015,Democratic,List of governors of Connecticut,2026-08-13,no
Connecticut,2016,Democratic,List of governors of Connecticut,2026-08-13,no
Connecticut,2017,Democratic,List of governors of Connecticut,2026-08-13,no
Connecticut,2018,Democratic,List of governors of Connecticut,2026-08-13,no
Connecticut,2019,Democratic,List of governors of Connecticut,2026-08-13,no
Connecticut,2020,Democratic,List of governors of Connecticut,2026-08-13,no
Connecticut,2021,Democratic,List of governors of Connecticut,2026-08-13,no
Connecticut,2022,Democratic,List of governors of Connecticut,2026-08-13,no
Connecticut,2023,Democratic,List of governors of Connecticut,2026-08-13,no
Delaware,2014,Democratic,List of governors of Delaware,2026-08-13,no
Delaware,2015,Democratic,List of governors of Delaware,2026-08-13,no
Delaware,2016,Democratic,List of governors of Delaware,2026-08-13,no
Delaware,2017,Democratic,List of governors of Delaware,2026-08-13,no
Delaware,2018,Democratic,List of governors of Delaware,2026-08-13,no
Delaware,2019,Democratic,List of governors of Delaware,2026-08-13,no
Delaware,2020,Democratic,List of governors of Delaware,2026-08-13,no
Delaware,2021,Democratic,List of governors of Delaware,2026-08-13,no
Delaware,2022,Democratic,List of governors of Delaware,2026-08-13,no
Delaware,2023,Democratic,List of governors of Delaware,2026-08-13,no
Florida,2014,Republican,List of governors of Florida,2026-08-13,no
Florida,2015,Republican,List of governors of Florida,2026-08-13,no
Florida,2016,Republican,List of governors of Florida,2026-08-13,no
Florida,2017,Republican,List of governors of Florida,2026-08-13,no
Florida,2018,Republican,List of governors of Florida,2026-08-13,no
Florida,2019,Republican,List of governors of Florida,2026-08-13,no
Florida,2020,Republican,List of governors of Florida,2026-08-13,no
Florida,2021,Republican,List of governors of Florida,2026-08-13,no
Florida,2022,Republican,List of governors of Florida,2026-08-13,no
Florida,2023,Republican,List of governors of Florida,2026-08-13,no
Georgia,2014,Republican,List of governors of Georgia,2026-08-13,no
Georgia,2015,Republican,List of governors of Georgia,2026-08-13,no
Georgia,2016,Republican,List of governors of Georgia,2026-08-13,no
Georgia,2017,Republican,List of governors of Georgia,2026-08-13,no
Georgia,2018,Republican,List of governors of Georgia,2026-08-13,no
Georgia,2019,Republican,List of governors of Georgia,2026-08-13,no
Georgia,2020,Republican,List of governors of Georgia,2026-08-13,no
Georgia,2021,Republican,List of governors of Georgia,2026-08-13,no
Georgia,2022,Republican,List of governors of Georgia,2026-08-13,no
Georgia,2023,Republican,List of governors of Georgia,2026-08-13,no
Hawaii,2014,Democratic,List of governors of Hawaii,2026-08-13,no
Hawaii,2015,Democratic,List of governors of Hawaii,2026-08-13,no
Hawaii,2016,Democratic,List of governors of Hawaii,2026-08-13,no
Hawaii,2017,Democratic,List of governors of Hawaii,2026-08-13,no
Hawaii,2018,Democratic,List of governors of Hawaii,2026-08-13,no
Hawaii,2019,Democratic,List of governors of Hawaii,2026-08-13,no
Hawaii,2020,Democratic,List of governors of Hawaii,2026-08-13,no
Hawaii,2021,Democratic,List of governors of Hawaii,2026-08-13,no
Hawaii,2022,Democratic,List of governors of Hawaii,2026-08-13,no
Hawaii,2023,Republican,List of governors of Hawaii,2026-08-13,no
Idaho,2014,Republican,List of governors of Idaho,2026-08-13,no
Idaho,2015,Republican,List of governors of Idaho,2026-08-13,no
Idaho,2016,Republican,List of governors of Idaho,2026-08-13,no
Idaho,2017,Republican,List of governors of Idaho,2026-08-13,no
Idaho,2018,Republican,List of governors of Idaho,2026-08-13,no
Idaho,2019,Republican,List of governors of Idaho,2026-08-13,no
Idaho,2020,Republican,List of governors of Idaho,2026-08-13,no
Idaho,2021,Republican,List of governors of Idaho,2026-08-13,no
Idaho,2022,Republican,List of governors of Idaho,2026-08-13,no
Idaho,2023,Republican,List of governors of Idaho,2026-08-13,no
Iowa,2014,Republican,List of governors of Iowa,2026-08-13,no
Iowa,2015,Republican,List of governors of Iowa,2026-08-13,no
Iowa,2016,Republican,List of governors of Iowa,2026-08-13,no
Iowa,2017,Republican,List of governors of Iowa,2026-08-13,no
Iowa,2018,Republican,List of governors of Iowa,2026-08-13,no
Iowa,2019,Republican,List of governors of Iowa,2026-08-13,no
Iowa,2020,Republican,List of governors of Iowa,2026-08-13,no
Iowa,2021,Republican,List of governors of Iowa,2026-08-13,no
Iowa,2022,Republican,List of governors of Iowa,2026-08-13,no
Iowa,2023,Republican,List of governors of Iowa,2026-08-13,no
New Jersey,2014,Republican,List of governors of New Jersey,2026-08-13,no
New Jersey,2015,Republican,List of governors of New Jersey,2026-08-13,no
New Jersey,2016,Republican,List of governors of New Jersey,2026-08-13,no
New Jersey,2017,Republican,List of governors of New Jersey,2026-08-13,no
New Jersey,2018,Democratic,List of governors of New Jersey,2026-08-13,no
New Jersey,2019,Democratic,List of governors of New Jersey,2026-08-13,no
New Jersey,2020,Democratic,List of governors of New Jersey,2026-08-13,no
New Jersey,2021,Democratic,List of governors of New Jersey,2026-08-13,no
New Jersey,2022,Democratic,List of governors of New Jersey,2026-08-13,no
New Jersey,2023,Democratic,List of governors of New Jersey,2026-08-13,no
Virginia,2014,Democratic,List of governors of Virginia,2026-08-13,no
Virginia,2015,Democratic,List of governors of Virginia,2026-08-13,no
Virginia,2016,Democratic,List of governors of Virginia,2026-08-13,no
Virginia,2017,Democratic,List of governors of Virginia,2026-08-13,no
Virginia,2018,Democratic,List of governors of Virginia,2026-08-13,no
Virginia,2019,Democratic,List of governors of Virginia,2026-08-13,no
Virginia,2020,Democratic,List of governors of Virginia,2026-08-13,no
Virginia,2021,Democratic,List of governors of Virginia,2026-08-13,no
Virginia,2022,Republican,List of governors of Virginia,2026-08-13,no
Virginia,2023,Republican,List of governors of Virginia,2026-08-13,no
Illinois,2014,Democratic,List of governors of Illinois,2026-08-13,no
Illinois,2015,Republican,List of governors of Illinois,2026-08-13,no
Illinois,2016,Republican,List of governors of Illinois,2026-08-13,no
Illinois,2017,Republican,List of governors of Illinois,2026-08-13,no
Illinois,2018,Republican,List of governors of Illinois,2026-08-13,no
Illinois,2019,Democratic,List of governors of Illinois,2026-08-13,no
Illinois,2020,Democratic,List of governors of Illinois,2026-08-13,no
Illinois,2021,Democratic,List of governors of Illinois,2026-08-13,no
Illinois,2022,Democratic,List of governors of Illinois,2026-08-13,no
Illinois,2023,Democratic,List of governors of Illinois,2026-08-13,no
Indiana,2014,Republican,List of governors of Indiana,2026-08-13,no
Indiana,2015,Republican,List of governors of Indiana,2026-08-13,no
Indiana,2016,Republican,List of governors of Indiana,2026-08-13,no
Indiana,2017,Republican,List of governors of Indiana,2026-08-13,no
Indiana,2018,Republican,List of governors of Indiana,2026-08-13,no
Indiana,2019,Republican,List of governors of Indiana,2026-08-13,no
Indiana,2020,Republican,List of governors of Indiana,2026-08-13,no
Indiana,2021,Republican,List of governors of Indiana,2026-08-13,no
Indiana,2022,Republican,List of governors of Indiana,2026-08-13,no
Indiana,2023,Republican,List of governors of Indiana,2026-08-13,no
Kansas,2014,Republican,List of governors of Kansas,2026-08-13,no
Kansas,2015,Republican,List of governors of Kansas,2026-08-13,no
Kansas,2016,Republican,List of governors of Kansas,2026-08-13,no
Kansas,2017,Republican,List of governors of Kansas,2026-08-13,no
Kansas,2018,Republican,List of governors of Kansas,2026-08-13,no
Kansas,2019,Democratic,List of governors of Kansas,2026-08-13,no
Kansas,2020,Democratic,List of governors of Kansas,2026-08-13,no
Kansas,2021,Democratic,List of governors of Kansas,2026-08-13,no
Kansas,2022,Democratic,List of governors of Kansas,2026-08-13,no
Kansas,2023,Democratic,List of governors of Kansas,2026-08-13,no
Kentucky,2014,Democratic,List of governors of Kentucky,2026-08-13,no
Kentucky,2015,Democratic,List of governors of Kentucky,2026-08-13,no
Kentucky,2016,Republican,List of governors of Kentucky,2026-08-13,no
Kentucky,2017,Republican,List of governors of Kentucky,2026-08-13,no
Kentucky,2018,Republican,List of governors of Kentucky,2026-08-13,no
Kentucky,2019,Republican,List of governors of Kentucky,2026-08-13,no
Kentucky,2020,Democratic,List of governors of Kentucky,2026-08-13,no
Kentucky,2021,Democratic,List of governors of Kentucky,2026-08-13,no
Kentucky,2022,Democratic,List of governors of Kentucky,2026-08-13,no
Kentucky,2023,Democratic,List of governors of Kentucky,2026-08-13,no
Louisiana,2014,Republican,List of governors of Louisiana,2026-08-13,no
Louisiana,2015,Republican,List of governors of Louisiana,2026-08-13,no
Louisiana,2016,Democratic,List of governors of Louisiana,2026-08-13,no
Louisiana,2017,Democratic,List of governors of Louisiana,2026-08-13,no
Louisiana,2018,Democratic,List of governors of Louisiana,2026-08-13,no
Louisiana,2019,Democratic,List of governors of Louisiana,2026-08-13,no
Louisiana,2020,Democratic,List of governors of Louisiana,2026-08-13,no
Louisiana,2021,Democratic,List of governors of Louisiana,2026-08-13,no
Louisiana,2022,Democratic,List of governors of Louisiana,2026-08-13,no
Louisiana,2023,Democratic,List of governors of Louisiana,2026-08-13,no
Maine,2014,Republican,List of governors of Maine,2026-08-13,no
Maine,2015,Republican,List of governors of Maine,2026-08-13,no
Maine,2016,Republican,List of governors of Maine,2026-08-13,no
Maine,2017,Republican,List of governors of Maine,2026-08-13,no
Maine,2018,Republican,List of governors of Maine,2026-08-13,no
Maine,2019,Democratic,List of governors of Maine,2026-08-13,no
Maine,2020,Democratic,List of governors of Maine,2026-08-13,no
Maine,2021,Democratic,List of governors of Maine,2026-08-13,no
Maine,2022,Democratic,List of governors of Maine,2026-08-13,no
Maine,2023,Democratic,List of governors of Maine,2026-08-13,no
Maryland,2014,Democratic,List of governors of Maryland,2026-08-13,no
Maryland,2015,Republican,List of governors of Maryland,2026-08-13,no
Maryland,2016,Republican,List of governors of Maryland,2026-08-13,no
Maryland,2017,Republican,List of governors of Maryland,2026-08-13,no
Maryland,2018,Republican,List of governors of Maryland,2026-08-13,no
Maryland,2019,Republican,List of governors of Maryland,2026-08-13,no
Maryland,2020,Republican,List of governors of Maryland,2026-08-13,no
Maryland,2021,Republican,List of governors of Maryland,2026-08-13,no
Maryland,2022,Republican,List of governors of Maryland,2026-08-13,no
Maryland,2023,Democratic,List of governors of Maryland,2026-08-13,no
Massachusetts,2014,Democratic,List of governors of Massachusetts,2026-08-13,no
Massachusetts,2015,Republican,List of governors of Massachusetts,2026-08-13,no
Massachusetts,2016,Republican,List of governors of Massachusetts,2026-08-13,no
Massachusetts,2017,Republican,List of governors of Massachusetts,2026-08-13,no
Massachusetts,2018,Republican,List of governors of Massachusetts,2026-08-13,no
Massachusetts,2019,Republican,List of governors of Massachusetts,2026-08-13,no
Massachusetts,2020,Republican,List of governors of Massachusetts,2026-08-13,no
Massachusetts,2021,Republican,List of governors of Massachusetts,2026-08-13,no
Massachusetts,2022,Republican,List of governors of Massachusetts,2026-08-13,no
Massachusetts,2023,Democratic,List of governors of Massachusetts,2026-08-13,no
Michigan,2014,Republican,List of governors of Michigan,2026-08-13,no
Michigan,2015,Republican,List of governors of Michigan,2026-08-13,no
Michigan,2016,Republican,List of governors of Michigan,2026-08-13,no
Michigan,2017,Republican,List of governors of Michigan,2026-08-13,no
Michigan,2018,Republican,List of governors of Michigan,2026-08-13,no
Michigan,2019,Democratic,List of governors of Michigan,2026-08-13,no
Michigan,2020,Democratic,List of governors of Michigan,2026-08-13,no
Michigan,2021,Democratic,List of governors of Michigan,2026-08-13,no
Michigan,2022,Democratic,List of governors of Michigan,2026-08-13,no
Michigan,2023,Democratic,List of governors of Michigan,2026-08-13,no
Mississippi,2014,Republican,List of governors of Mississippi,2026-08-13,no
Mississippi,2015,Republican,List of governors of Mississippi,2026-08-13,no
Mississippi,2016,Republican,List of governors of Mississippi,2026-08-13,no
Mississippi,2017,Republican,List of governors of Mississippi,2026-08-13,no
Mississippi,2018,Republican,List of governors of Mississippi,2026-08-13,no
Mississippi,2019,Republican,List of governors of Mississippi,2026-08-13,no
Mississippi,2020,Republican,List of governors of Mississippi,2026-08-13,no
Mississippi,2021,Republican,List of governors of Mississippi,2026-08-13,no
Mississippi,2022,Republican,List of governors of Mississippi,2026-08-13,no
Mississippi,2023,Republican,List of governors of Mississippi,2026-08-13,no
Missouri,2014,Democratic,List of governors of Missouri,2026-08-13,no
Missouri,2015,Democratic,List of governors of Missouri,2026-08-13,no
Missouri,2016,Democratic,List of governors of Missouri,2026-08-13,no
Missouri,2017,Republican,List of governors of Missouri,2026-08-13,no
Missouri,2018,Republican,List of governors of Missouri,2026-08-13,no
Missouri,2019,Republican,List of governors of Missouri,2026-08-13,no
Missouri,2020,Republican,List of governors of Missouri,2026-08-13,no
Missouri,2021,Republican,List of governors of Missouri,2026-08-13,no
Missouri,2022,Republican,List of governors of Missouri,2026-08-13,no
Missouri,2023,Republican,List of governors of Missouri,2026-08-13,no
Montana,2014,Democratic,List of governors of Montana,2026-08-13,no
Montana,2015,Democratic,List of governors of Montana,2026-08-13,no
Montana,2016,Democratic,List of governors of Montana,2026-08-13,no
Montana,2017,Democratic,List of governors of Montana,2026-08-13,no
Montana,2018,Democratic,List of governors of Montana,2026-08-13,no
Montana,2019,Democratic,List of governors of Montana,2026-08-13,no
Montana,2020,Democratic,List of governors of Montana,2026-08-13,no
Montana,2021,Republican,List of governors of Montana,2026-08-13,no
Montana,2022,Republican,List of governors of Montana,2026-08-13,no
Montana,2023,Republican,List of governors of Montana,2026-08-13,no
Nebraska,2014,Republican,List of governors of Nebraska,2026-08-13,no
Nebraska,2015,Republican,List of governors of Nebraska,2026-08-13,no
Nebraska,2016,Republican,List of governors of Nebraska,2026-08-13,no
Nebraska,2017,Republican,List of governors of Nebraska,2026-08-13,no
Nebraska,2018,Republican,List of governors of Nebraska,2026-08-13,no
Nebraska,2019,Republican,List of governors of Nebraska,2026-08-13,no
Nebraska,2020,Republican,List of governors of Nebraska,2026-08-13,no
Nebraska,2021,Republican,List of governors of Nebraska,2026-08-13,no
Nebraska,2022,Republican,List of governors of Nebraska,2026-08-13,no
Nebraska,2023,Republican,List of governors of Nebraska,2026-08-13,no
Nevada,2014,Republican,List of governors of Nevada,2026-08-13,no
Nevada,2015,Republican,List of governors of Nevada,2026-08-13,no
Nevada,2016,Republican,List of governors of Nevada,2026-08-13,no
Nevada,2017,Republican,List of governors of Nevada,2026-08-13,no
Nevada,2018,Republican,List of governors of Nevada,2026-08-13,no
Nevada,2019,Democratic,List of governors of Nevada,2026-08-13,no
Nevada,2020,Democratic,List of governors of Nevada,2026-08-13,no
Nevada,2021,Democratic,List of governors of Nevada,2026-08-13,no
Nevada,2022,Democratic,List of governors of Nevada,2026-08-13,no
Nevada,2023,Republican,List of governors of Nevada,2026-08-13,no
New Hampshire,2014,Democratic,List of governors of New Hampshire,2026-08-13,no
New Hampshire,2015,Democratic,List of governors of New Hampshire,2026-08-13,no
New Hampshire,2016,Democratic,List of governors of New Hampshire,2026-08-13,no
New Hampshire,2017,Republican,List of governors of New Hampshire,2026-08-13,no
New Hampshire,2018,Republican,List of governors of New Hampshire,2026-08-13,no
New Hampshire,2019,Republican,List of governors of New Hampshire,2026-08-13,no
New Hampshire,2020,Republican,List of governors of New Hampshire,2026-08-13,no
New Hampshire,2021,Republican,List of governors of New Hampshire,2026-08-13,no
New Hampshire,2022,Republican,List of governors of New Hampshire,2026-08-13,no
New Hampshire,2023,Republican,List of governors of New Hampshire,2026-08-13,no
