state,pct_alcohol_use,pct_binge_alcohol,pct_marijuana_use,pct_cigarette_use,pct_nicotine_vaping,pct_tobacco_any,pct_alcohol_use_disorder,pct_drug_use_disorder,pct_substance_use_disorder,pct_serious_thoughts_suicide,pct_suicide_plans,pct_suicide_attempts,pct_any_mental_illness,pct_major_depressive_episode
Alabama,41.79,20.69,10.85,20.67,11.33,26.16,10.05,8.47,16.18,4.73,1.53,0.63,22.09,8.32
Alaska,46.96,19.26,22.31,13.74,9.09,18.81,10.05,13.32,21.11,5.28,1.76,0.65,23.47,8.42
Arizona,43.42,21.54,18.66,14.48,8.54,16.54,10.57,11.44,18.56,5.68,1.64,0.63,25.7,10.49
Arkansas,42.43,19.41,14.63,19.59,11.71,24.93,10.65,9.5,17.62,5.29,1.97,0.82,24.47,9.86
California,48.15,21.17,16.16,9.15,6.6,11.07,10.43,10.16,17.0,4.59,1.15,0.43,20.99,7.49
Colorado,54.24,22.99,20.93,12.23,9.51,16.19,14.49,11.88,22.41,6.19,1.71,0.6,27.73,9.99
Connecticut,53.3,23.5,17.83,12.63,8.76,15.67,11.98,10.21,19.12,4.86,1.21,0.54,24.13,8.67
Delaware,53.1,22.89,14.93,15.6,7.91,18.85,10.87,9.67,17.88,4.67,1.35,0.6,21.9,8.22
Florida,48.98,21.02,14.36,12.22,8.58,15.47,9.56,8.67,15.82,4.42,1.33,0.6,19.97,8.16
Georgia,45.68,20.91,13.17,16.23,9.34,21.65,9.65,10.11,17.17,5.26,1.81,0.65,23.08,8.2
Hawaii,42.11,20.69,15.14,12.14,9.28,14.98,10.09,8.62,16.94,4.84,1.22,0.51,21.16,6.38
Idaho,44.22,20.46,13.59,12.69,12.47,16.31,10.64,9.97,17.43,5.9,1.69,0.66,26.72,10.42
Illinois,52.99,25.5,17.18,14.38,8.73,18.09,11.21,9.4,17.45,5.02,1.24,0.53,22.61,8.01
Indiana,46.24,19.67,13.1,17.39,9.43,21.25,8.49,8.42,14.81,5.48,1.72,0.7,23.73,8.69
Iowa,51.39,23.54,10.49,15.02,8.97,18.84,10.07,8.38,16.24,5.87,1.7,0.7,25.72,9.53
Kansas,52.29,23.87,11.8,14.93,10.27,19.49,10.21,8.1,16.24,5.79,1.69,0.65,23.72,8.97
Kentucky,42.41,18.62,11.52,19.82,10.55,24.5,9.96,9.61,17.53,5.44,2.02,0.77,25.22,10.95
Louisiana,47.31,25.22,14.48,20.37,11.54,26.3,11.27,12.17,19.83,5.22,1.48,0.8,22.59,8.2
Maine,52.82,19.96,23.06,16.43,8.78,20.09,11.52,12.38,20.44,5.24,1.64,0.62,25.76,9.42
Maryland,48.46,20.04,14.27,11.38,7.07,15.11,8.87,9.21,15.16,4.82,1.42,0.71,22.29,8.33
Massachusetts,55.05,23.46,20.79,10.63,7.49,13.77,12.8,11.29,20.03,6.07,1.4,0.56,23.99,8.61
Michigan,49.57,21.74,19.41,15.9,9.77,19.34,9.78,10.64,18.13,4.96,1.62,0.61,23.16,8.76
Minnesota,51.95,23.32,17.64,12.75,9.5,15.67,11.4,9.7,18.32,4.94,1.48,0.63,23.74,8.99
Mississippi,38.49,19.54,11.27,20.19,11.59,25.72,9.37,10.18,15.7,4.18,1.36,0.73,20.47,7.54
Missouri,48.48,22.16,18.56,18.89,10.04,24.14,11.34,10.75,19.75,5.68,1.55,0.71,26.08,9.64
Montana,51.75,22.94,21.97,14.44,8.78,19.34,10.97,11.5,20.23,5.49,1.73,0.6,24.6,9.51
Nebraska,50.79,23.63,11.25,12.39,9.09,16.78,11.33,8.13,16.24,5.7,1.55,0.58,24.43,10.13
Nevada,47.42,22.67,20.88,15.64,9.23,18.04,12.17,12.17,21.32,5.6,1.54,0.56,23.16,9.84
New Hampshire,58.87,23.95,16.96,12.75,9.39,16.61,11.6,9.81,18.51,5.81,1.68,0.7,26.93,10.47
New Jersey,50.02,22.02,13.66,10.42,7.41,13.13,9.39,8.11,14.91,4.73,1.2,0.54,19.69,6.84
New Mexico,44.81,21.1,23.97,16.03,10.86,19.28,10.35,14.03,21.26,5.49,1.65,0.71,24.88,9.84
New York,49.59,22.57,16.19,12.6,7.94,15.7,9.97,9.27,17.04,4.8,1.29,0.56,21.29,7.92
North Carolina,45.27,20.8,11.68,15.58,8.96,20.45,9.61,8.02,15.29,4.45,1.35,0.64,21.32,8.69
North Dakota,54.77,25.14,12.36,16.39,9.93,21.38,10.8,8.11,17.1,5.45,1.78,0.68,23.53,9.4
Ohio,48.51,23.74,15.68,18.72,10.95,23.46,11.0,10.44,18.37,5.27,1.79,0.74,23.37,9.14
Oklahoma,40.53,18.97,20.07,19.11,11.27,24.54,9.39,11.46,18.43,5.33,1.5,0.68,22.2,9.24
Oregon,52.16,20.23,22.33,14.71,9.17,18.57,11.73,12.74,21.55,6.62,1.68,0.64,30.16,11.78
Pennsylvania,51.58,22.33,14.33,15.47,8.24,20.16,10.05,9.42,17.31,5.34,1.42,0.59,24.39,9.22
Rhode Island,54.92,25.67,18.32,14.29,9.23,17.11,12.59,11.69,21.78,5.48,1.54,0.57,24.37,9.44
South Carolina,47.86,20.52,11.89,16.68,10.18,20.6,10.09,9.48,16.86,4.45,1.36,0.64,20.52,7.61
South Dakota,49.84,23.3,11.85,16.54,10.84,20.69,11.33,8.44,17.51,5.96,1.95,0.67,24.14,9.27
Tennessee,44.61,19.65,12.92,17.82,10.45,23.31,9.06,9.51,16.1,5.56,1.67,0.73,26.48,9.85
Texas,42.86,20.93,10.29,14.37,8.57,18.42,9.75,7.48,14.95,4.3,1.32,0.58,21.02,7.9
Utah,27.71,13.03,10.31,7.94,8.14,10.0,7.17,8.28,12.81,7.56,2.14,0.63,29.93,10.89
Vermont,59.07,25.43,25.33,13.94,9.52,17.8,11.14,13.03,20.58,5.99,1.76,0.71,27.02,10.27
Virginia,50.02,20.75,13.27,12.87,8.7,17.48,10.23,8.5,16.31,5.25,1.26,0.56,23.25,8.26
Washington,52.34,18.99,20.7,12.31,8.6,15.03,10.76,10.55,18.49,5.62,1.36,0.58,27.99,10.68
West Virginia,37.76,19.24,12.76,24.44,11.2,30.37,8.14,11.89,18.06,6.62,1.98,0.61,29.33,12.13
Wisconsin,57.04,28.1,14.04,14.5,10.89,18.58,11.97,9.78,18.61,5.53,1.79,0.57,24.81,8.95
Wyoming,51.73,22.81,10.8,16.93,12.36,22.99,11.74,8.51,17.85,6.48,1.88,0.69,24.89,10.13
