state,year,debt_total,debt_auto,debt_creditcard,debt_mortgage,debt_studentloan,delinq_auto,delinq_creditcard,delinq_mortgage,delinq_studentloan
Alabama,2014,33760.0,3910.0,2070.0,20500.0,3980.0,4.97,7.69,2.25,13.78
Alabama,2015,34210.0,4200.0,2110.0,20440.0,4180.0,4.87,7.45,1.83,13.72
Alabama,2016,34780.0,4500.0,2190.0,20310.0,4390.0,5.32,7.16,1.41,13.38
Alabama,2017,36060.0,4780.0,2370.0,21000.0,4610.0,5.75,7.68,1.14,13.39
Alabama,2018,36780.0,4960.0,2420.0,21140.0,4920.0,6.15,7.73,1.01,15.17
Alabama,2019,38000.0,5150.0,2550.0,21880.0,5120.0,6.59,8.37,0.88,13.95
Alabama,2020,39140.0,5330.0,2330.0,23060.0,5280.0,6.22,9.14,0.55,7.32
Alabama,2021,41220.0,5550.0,2370.0,24810.0,5450.0,5.79,8.53,0.51,5.95
Alabama,2022,44440.0,5900.0,2690.0,26840.0,5480.0,5.58,8.17,0.55,1.02
Alabama,2023,46110.0,6130.0,3060.0,28170.0,5490.0,6.05,9.86,0.7,0.75
Alaska,2014,54330.0,4690.0,3830.0,39170.0,3640.0,1.78,3.98,0.92,10.73
Alaska,2015,56050.0,4990.0,3920.0,40470.0,3610.0,1.7,5.36,0.85,10.21
Alaska,2016,57040.0,5070.0,4110.0,40940.0,3660.0,2.09,5.01,0.93,11.02
Alaska,2017,57850.0,5010.0,4270.0,41580.0,3740.0,2.41,5.83,0.76,10.33
Alaska,2018,58550.0,4920.0,4350.0,41960.0,4030.0,2.29,6.34,0.54,9.38
Alaska,2019,59630.0,4960.0,4440.0,42860.0,3970.0,2.53,6.58,0.6,10.85
Alaska,2020,60400.0,5050.0,3900.0,44390.0,4030.0,2.93,7.84,0.39,5.31
Alaska,2021,63920.0,5350.0,4070.0,47390.0,3990.0,2.53,7.53,0.21,4.28
Alaska,2022,67670.0,5660.0,4430.0,50310.0,3910.0,2.05,6.46,0.25,2.12
Alaska,2023,68780.0,5860.0,4980.0,50750.0,4250.0,2.09,8.12,0.64,0.71
Arizona,2014,47230.0,4050.0,2740.0,33070.0,4310.0,4.46,8.94,1.99,12.89
Arizona,2015,47630.0,4480.0,2810.0,33000.0,4470.0,4.01,9.26,1.48,13.31
Arizona,2016,48590.0,4750.0,2930.0,33370.0,4690.0,4.29,8.63,1.05,12.89
Arizona,2017,51300.0,4890.0,3140.0,35680.0,4890.0,4.57,9.54,0.88,12.51
Arizona,2018,53060.0,5200.0,3310.0,36690.0,5170.0,4.75,9.87,0.64,12.64
Arizona,2019,54290.0,5350.0,3460.0,37620.0,5260.0,5.22,10.39,0.59,13.03
Arizona,2020,56250.0,5480.0,3030.0,40000.0,5410.0,4.89,10.93,0.28,7.51
Arizona,2021,60090.0,5780.0,3060.0,43540.0,5480.0,4.0,9.4,0.24,6.05
Arizona,2022,65600.0,6040.0,3530.0,47820.0,5420.0,3.73,8.01,0.26,0.98
Arizona,2023,67270.0,6120.0,4040.0,49230.0,5290.0,4.16,10.13,0.47,0.78
Arkansas,2014,29430.0,4200.0,1990.0,17560.0,3720.0,3.03,7.01,2.01,13.93
Arkansas,2015,30020.0,4640.0,2050.0,17530.0,3830.0,3.19,7.63,1.69,15.25
Arkansas,2016,30820.0,4970.0,2150.0,17580.0,4100.0,3.89,7.81,1.13,16.09
Arkansas,2017,32220.0,5240.0,2300.0,18200.0,4170.0,4.39,8.66,1.2,14.24
Arkansas,2018,32790.0,5380.0,2410.0,18260.0,4330.0,4.97,9.06,0.89,14.37
Arkansas,2019,33950.0,5520.0,2530.0,18950.0,4540.0,5.47,9.74,0.96,12.23
Arkansas,2020,35180.0,5760.0,2300.0,20010.0,4650.0,5.33,10.74,0.6,7.81
Arkansas,2021,37000.0,5990.0,2380.0,21400.0,4850.0,4.6,10.23,0.55,5.74
Arkansas,2022,39150.0,5980.0,2670.0,22810.0,4920.0,4.38,9.49,0.56,0.68
Arkansas,2023,40580.0,6150.0,3040.0,24000.0,4940.0,4.82,11.29,0.56,1.14
California,2014,66140.0,3420.0,3050.0,51850.0,3890.0,2.85,8.06,1.94,11.19
California,2015,65740.0,3820.0,3060.0,51190.0,4010.0,2.55,8.48,1.21,11.36
California,2016,66970.0,4140.0,3220.0,51890.0,4190.0,2.92,8.15,0.87,10.62
California,2017,70100.0,4380.0,3420.0,54640.0,4330.0,3.63,8.37,0.72,10.05
California,2018,71860.0,4580.0,3610.0,55920.0,4530.0,4.15,8.23,0.57,9.44
California,2019,73400.0,4710.0,3810.0,57170.0,4640.0,4.89,8.7,0.58,9.63
California,2020,73350.0,4710.0,3230.0,58060.0,4640.0,4.8,10.41,0.27,5.56
California,2021,78320.0,4940.0,3330.0,62840.0,4710.0,3.83,9.07,0.24,4.36
