state,tracts,population,dissimilarity_tract,isolation_tract
Alabama,1437,5024279,0.5568481368937639,0.5191917263696647
Alaska,177,733391,0.4903839812328823,0.06548367127764292
Arizona,1765,7151502,0.46032286019384305,0.0897533213595138
Arkansas,823,3011524,0.6295217701241045,0.443754062734283
California,9129,39538223,0.5734745723231979,0.16140114616035772
Colorado,1447,5773714,0.5735574408626952,0.1310911300002455
Connecticut,883,3605944,0.6337784678272841,0.29286627313510044
Delaware,262,989948,0.4360063710648033,0.3627412335077683
Florida,5160,21538187,0.5669833845206256,0.37230478095774455
Georgia,2796,10711908,0.5549045025610002,0.5366774770552731
Hawaii,461,1455271,0.4752147408547295,0.05361580903026489
Idaho,456,1839106,0.4259637402534553,0.023456873752927054
Illinois,3265,12812508,0.6992634132714841,0.5415432171447871
Indiana,1696,6785528,0.6450346332730885,0.3661265254232571
Iowa,896,3190369,0.5330844061309935,0.1344455287624642
Kansas,829,2937880,0.518768018786068,0.1753474507952445
Kentucky,1306,4505836,0.5741082235709376,0.28888456737569435
Louisiana,1388,4657757,0.5437798796693059,0.5463774419804641
Maine,407,1362359,0.5650067651583331,0.12370528407196058
Maryland,1475,6177224,0.6315782933985237,0.5520078597976477
Massachusetts,1620,7029917,0.5685178176212671,0.2296922716745157
Michigan,3017,10077331,0.6991040309225101,0.5461636580521547
Minnesota,1505,5706494,0.5576533197225606,0.20650297952354035
Mississippi,878,2961279,0.4917641187741343,0.5584411507869885
Missouri,1654,6154913,0.6653086807054676,0.4777330927956632
Montana,319,1084225,0.3746982620017219,0.015217053587150602
Nebraska,553,1961504,0.5890354090299236,0.21528296689178367
Nevada,779,3104614,0.4856108374751905,0.17352627605897575
New Hampshire,350,1377529,0.44919695927972264,0.04153522295634826
New Jersey,2181,9288994,0.6467541288364822,0.3883458314079553
New Mexico,612,2117522,0.37077557764800295,0.039323290016718734
New York,5411,20201249,0.7371591981746463,0.44051859705959473
North Carolina,2672,10439388,0.5107804537106969,0.37593732740500135
North Dakota,228,779094,0.44797483416112927,0.08141194851719741
Ohio,3168,11799448,0.6664523282366462,0.453909779170226
Oklahoma,1205,3959353,0.5261355862460806,0.2346200278817961
Oregon,1001,4237256,0.4829886462269454,0.05895304070269586
Pennsylvania,3446,13002700,0.6793169647264015,0.452491043255325
Rhode Island,250,1097379,0.564674998392202,0.11848996511949197
South Carolina,1323,5118425,0.460515010969235,0.4215835843476657
South Dakota,242,886667,0.5155954496490973,0.07392650433006846
Tennessee,1701,6910840,0.647613751632444,0.48903557041766976
Texas,6896,29145505,0.544130499039281,0.28862027110433675
Utah,716,3271616,0.4141255342083542,0.02860385688106431
Vermont,193,643077,0.396038590815439,0.03387284618558089
Virginia,2198,8631393,0.4971051781102276,0.37593656214491
Washington,1784,7705281,0.5169405608338191,0.10752220650860994
West Virginia,546,1793716,0.5381280208266301,0.1367088547130525
Wisconsin,1542,5893718,0.7052787102250193,0.449944685332166
Wyoming,160,576851,0.4111038376006563,0.023400363217683105
