state,firearm_mortality_rate,gun_reg_pct,poverty_rate,suicide_rate,homicide_rate,accident_mortality_rate,credit_score,median_household_income,gov_party,pop_density,population,mass_shootings_count,mass_shooting_fatalities,mass_shootings_per_10m,gov_party_rep,firearm_mortality_rate_crude,firearm_homicide_rate,firearm_suicide_rate,pct_male,pct_age_15_34,pct_age_65_plus,pct_black,pct_hispanic,pct_white_nh,pct_rural,pct_alcohol_use,pct_binge_alcohol,pct_marijuana_use,pct_cigarette_use,pct_nicotine_vaping,pct_tobacco_any,pct_alcohol_use_disorder,pct_drug_use_disorder,pct_substance_use_disorder,pct_serious_thoughts_suicide,pct_suicide_plans,pct_suicide_attempts,pct_any_mental_illness,pct_major_depressive_episode
Alabama,23.6,0.031861825712318506,14.9,16.0,14.2,59.6,686.0,43623,republican,103.0,5223121,1.0,3.0,1.9145641083176133,1,22.7,11.2,10.8,48.61500628792829,26.15754320863998,17.210818893356418,26.806567109126956,5.267690064755327,64.56541750730942,40.9631829,41.79,20.69,10.85,20.67,11.33,26.16,10.05,8.47,16.18,4.73,1.53,0.63,22.09,8.32
Alaska,23.5,0.02144106619983388,9.6,27.5,7.3,65.5,714.0,72515,republican,1.3,738003,0.0,0.0,0.0,1,23.9,3.7,18.1,52.55196708160291,28.744522241201476,12.803357327235718,3.6704394758814898,6.891470795291446,59.83063288237894,33.98021207,46.96,19.26,22.31,13.74,9.09,18.81,10.05,13.32,21.11,5.28,1.76,0.65,23.47,8.42
Arizona,16.7,0.024610188298652216,12.8,17.6,7.5,69.1,706.0,50255,republican,68.0,7691212,0.0,0.0,0.0,1,17.6,5.3,11.5,49.9601554708897,26.953338556883615,18.24985184402874,5.398916301164251,30.704832813691656,54.74453235240792,10.19017941,43.42,21.54,18.66,14.48,8.54,16.54,10.57,11.44,18.56,5.68,1.64,0.63,25.7,10.49
Arkansas,22.6,0.026344548324020688,15.2,19.0,13.0,58.0,690.0,41371,republican,60.0,3133502,1.0,4.0,3.1913175737561357,1,22.3,9.4,12.1,49.388988928949146,26.26239571542503,17.158669138400743,15.77561714838499,8.558368177795,71.08708085463257,43.83967588,42.43,19.41,14.63,19.59,11.71,24.93,10.65,9.5,17.62,5.29,1.97,0.82,24.47,9.86
California,8.5,0.008616610489335975,11.5,10.0,6.1,44.1,716.0,61818,democrat,253.0,39345844,18.0,105.0,4.574816084768699,0,8.7,4.4,3.9,50.002835213349805,28.08539814496041,14.79498622896373,6.506133680309444,39.4687721501043,35.975209603272646,5.04738342,48.15,21.17,16.16,9.15,6.6,11.07,10.43,10.16,17.0,4.59,1.15,0.43,20.99,7.49
Colorado,15.4,0.015607118338545556,9.0,21.5,5.8,60.5,725.0,60629,democrat,58.0,6036620,5.0,24.0,8.282780761419469,0,15.9,4.1,11.3,50.64686401672953,28.61343710583817,14.732648841815667,4.628277684907002,21.923716284552064,67.42617695198747,13.84783969,54.24,22.99,20.93,12.23,9.51,16.19,14.49,11.88,22.41,6.19,1.71,0.6,27.73,9.99
Connecticut,6.0,0.022810863064506574,9.7,9.3,4.6,63.5,723.0,70331,democrat,765.0,3702543,0.0,0.0,0.0,0,6.1,2.8,3.0,49.09036428474395,25.437459784335022,17.613441018608636,12.4883650595681,17.419958597780738,65.07740135387381,12.00736857,53.3,23.5,17.83,12.63,8.76,15.67,11.98,10.21,19.12,4.86,1.21,0.54,24.13,8.67
Delaware,14.4,0.004811821292210046,10.9,12.3,9.9,70.9,710.0,60509,democrat,549.0,1069781,0.0,0.0,0.0,0,13.6,7.7,5.8,48.542337542924315,25.01345953368513,19.382333429448856,23.322296851779782,10.561650713506516,60.46415731220674,16.70334345,53.1,22.89,14.93,15.6,7.91,18.85,10.87,9.67,17.88,4.67,1.35,0.6,21.9,8.22
Florida,13.7,0.015543547610717462,12.4,13.2,7.8,67.7,701.0,47507,republican,441.0,23659198,8.0,94.0,3.381348767612495,1,14.1,5.7,8.0,49.12474233254794,24.286699934079927,20.798938498327495,17.07786085496755,26.466934666598803,52.94045995102008,8.83696934,48.98,21.02,14.36,12.22,8.58,15.47,9.56,8.67,15.82,4.42,1.33,0.6,19.97,8.16
Georgia,17.7,0.017409011464940147,14.0,13.7,10.5,50.8,689.0,49620,republican,198.0,11401288,2.0,12.0,1.7541877724692156,1,17.7,8.4,8.7,48.837621443126835,27.477141624558925,14.28794518275985,32.79383250142792,10.519679214042725,51.06127339763091,24.9338204,45.68,20.91,13.17,16.23,9.34,21.65,9.65,10.11,17.17,5.26,1.81,0.65,23.08,8.2
