state,year,veterans,veteran_pct
Alabama,2014,408467,10.745970001457465
Alabama,2015,396163,10.381967338561315
Alabama,2016,393785,10.279303330093846
Alabama,2017,379091,9.853859966333362
Alabama,2018,380216,9.839915300579682
Alabama,2019,373477,9.622739611954266
Alabama,2020,367601,9.266552826517797
Alabama,2021,361103,9.055134301245841
Alabama,2022,348487,8.688483677133377
Alabama,2023,342998,8.480571836178132
Alaska,2014,78207,13.964413573909239
Alaska,2015,74263,13.217208373526784
Alaska,2016,74886,13.246633328675212
Alaska,2017,74017,13.095602480515918
Alaska,2018,73728,13.094652413065525
Alaska,2019,73580,13.080912143843811
Alaska,2020,72406,12.876779080169092
Alaska,2021,70097,12.39457091023542
Alaska,2022,72136,12.7554908766836
Alaska,2023,71006,12.513040658658998
Arizona,2014,533166,10.255107251757973
Arizona,2015,527925,9.970910269456803
Arizona,2016,527692,9.769888513828759
Arizona,2017,508040,9.229018035314928
Arizona,2018,528026,9.39451422967531
Arizona,2019,519616,9.04702392373155
Arizona,2020,506793,8.92406480918649
Arizona,2021,487876,8.455389948006932
Arizona,2022,483619,8.242537183699097
Arizona,2023,473375,7.960468653200533
Arkansas,2014,243988,10.603291788693815
Arkansas,2015,241384,10.43699038470685
Arkansas,2016,233133,10.025664821219234
Arkansas,2017,225181,9.628645842464286
Arkansas,2018,218921,9.320951437775312
Arkansas,2019,219976,9.324367399811457
Arkansas,2020,214254,9.123947092741009
Arkansas,2021,208863,8.834236722505493
Arkansas,2022,207308,8.705694219776491
Arkansas,2023,203084,8.445758240149582
California,2014,1901647,6.34359794805557
California,2015,1870213,6.171382000478739
California,2016,1821578,5.95774781984058
California,2017,1777168,5.768352777152238
California,2018,1758511,5.6770489886393225
California,2019,1705601,5.492453773538303
California,2020,1646015,5.2905167932843575
California,2021,1596326,5.162055773094431
California,2022,1512478,4.883562866817411
California,2023,1474935,4.7521204090238465
Colorado,2014,419520,10.056681501262718
Colorado,2015,421359,9.882500783359383
Colorado,2016,417525,9.600763232221313
Colorado,2017,411504,9.300172757787434
Colorado,2018,405706,9.005976443626462
Colorado,2019,399213,8.730192053597085
Colorado,2020,388091,8.437377164940743
Colorado,2021,381258,8.213223518645618
Colorado,2022,373444,7.966043991955543
Colorado,2023,368109,7.77073575732423
Connecticut,2014,215472,7.502462555061478
Connecticut,2015,207101,7.204482829514791
Connecticut,2016,196486,6.8316057816539715
Connecticut,2017,190199,6.60459518341217
Connecticut,2018,189656,6.572582196264646
Connecticut,2019,183955,6.377109727679336
Connecticut,2020,175038,6.066735546714294
Connecticut,2021,168996,5.791137841595266
Connecticut,2022,157580,5.383842186937333
Connecticut,2023,152198,5.175698924072996
Delaware,2014,75775,10.226901576110281
Delaware,2015,76409,10.190108490534584
Delaware,2016,75068,9.909980079181622
Delaware,2017,73843,9.643427090869675
Delaware,2018,73043,9.430865966869375
Delaware,2019,74166,9.459719726180106
Delaware,2020,71009,8.943987505195672
Delaware,2021,69291,8.582469917198754
Delaware,2022,64671,7.881699554307568
Delaware,2023,63390,7.612357020625057
Florida,2014,1671054,10.420397377836325
Florida,2015,1657913,10.137220409288823
Florida,2016,1630866,9.761827746267874
Florida,2017,1621562,9.525940025705838
Florida,2018,1592513,9.217823287116673
Florida,2019,1561061,8.919882189016974
Florida,2020,1503900,8.565032683125912
Florida,2021,1461197,8.208673538664073
Florida,2022,1448174,7.974684959321053
Florida,2023,1412962,7.640128483056843
Georgia,2014,750086,9.71595740753574
Georgia,2015,738690,9.440624861015046
Georgia,2016,727878,9.167159945894616
Georgia,2017,731226,9.081519888343006
Georgia,2018,716061,8.777963891807817
Georgia,2019,715668,8.656402619462064
Georgia,2020,698336,8.37943102720673
Georgia,2021,679057,8.078710731719852
Georgia,2022,672179,7.88379333729451
Georgia,2023,662381,7.660130697790387
Hawaii,2014,121123,10.786364563324241
Hawaii,2015,122677,10.854594601768737
Hawaii,2016,118167,10.393305615975331
Hawaii,2017,123173,10.84321864174762
Hawaii,2018,118872,10.469973867342635
Hawaii,2019,115893,10.246768403741756
Hawaii,2020,115905,9.984949995563394
Hawaii,2021,114140,9.82753172594842
Hawaii,2022,112403,9.707060143304854
Hawaii,2023,111344,9.62213686034403
