state,year,top1_income_share,top10_income_share,bottom90_income_share
Alabama,2014,15.879999999999994,45.97,54.080000000000005
Alabama,2015,16.379999999999995,46.160000000000004,53.839999999999996
Alabama,2016,17.06,47.910000000000004,52.09
Alabama,2017,17.089999999999993,47.72,52.11
Alabama,2018,17.03,47.56,52.36000000000001
Alaska,2014,11.39,34.03,66.0
Alaska,2015,11.629999999999995,34.52,65.47
Alaska,2016,11.019999999999996,33.629999999999995,66.34
Alaska,2017,10.799999999999999,34.08,65.74
Alaska,2018,11.080000000000002,35.14,64.78
Arizona,2014,17.64,48.38,51.650000000000006
Arizona,2015,18.259999999999998,49.17,50.82
Arizona,2016,18.04,49.1,50.88
Arizona,2017,19.379999999999995,51.06,48.809999999999995
Arizona,2018,19.709999999999994,50.82,49.13
Arkansas,2014,18.459999999999997,46.62,53.46000000000001
Arkansas,2015,18.44,46.410000000000004,53.66000000000001
Arkansas,2016,19.759999999999998,47.99,52.12
Arkansas,2017,22.859999999999992,51.470000000000006,48.69
Arkansas,2018,21.419999999999995,49.419999999999995,50.67
California,2014,23.639999999999993,51.7,48.29
California,2015,23.86999999999999,51.86000000000001,48.14000000000001
California,2016,23.099999999999998,51.42,48.6
California,2017,23.55999999999999,52.43,47.599999999999994
California,2018,23.909999999999997,52.92,47.099999999999994
Colorado,2014,18.04,44.42,55.57
Colorado,2015,17.86,44.78,55.2
Colorado,2016,18.869999999999997,47.410000000000004,52.580000000000005
Colorado,2017,18.54,47.08,52.82
Colorado,2018,19.36,47.64,52.33
Connecticut,2014,29.330000000000002,55.92,44.03
Connecticut,2015,28.359999999999996,55.26,44.72
Connecticut,2016,25.539999999999996,52.739999999999995,47.24
Connecticut,2017,28.439999999999998,56.53,43.61
Connecticut,2018,26.649999999999995,54.35,45.69
Delaware,2014,14.979999999999993,44.01,56.02
Delaware,2015,15.52,44.45,55.55
Delaware,2016,15.279999999999994,46.07,53.900000000000006
Delaware,2017,15.83,45.4,54.43
Delaware,2018,16.34,45.97,53.970000000000006
Florida,2014,28.669999999999995,59.160000000000004,40.81
Florida,2015,29.679999999999996,59.99,40.03
Florida,2016,25.369999999999994,55.1,44.92
Florida,2017,34.64999999999999,66.87,33.379999999999995
Florida,2018,31.929999999999993,62.91,37.18
Georgia,2014,18.979999999999997,48.9,51.11
Georgia,2015,18.689999999999994,48.35,51.629999999999995
Georgia,2016,17.91999999999999,48.04,51.93
Georgia,2017,20.399999999999995,51.01,48.9
Georgia,2018,19.759999999999998,49.43,50.540000000000006
Hawaii,2014,12.129999999999995,36.97,63.080000000000005
Hawaii,2015,12.5,37.230000000000004,62.79
Hawaii,2016,12.969999999999992,38.36,61.650000000000006
Hawaii,2017,13.649999999999995,39.51,60.36
Hawaii,2018,12.4,37.39,62.550000000000004
Idaho,2014,15.069999999999995,41.099999999999994,58.93000000000001
Idaho,2015,15.399999999999991,41.47,58.540000000000006
Idaho,2016,16.63,43.47,56.53
Idaho,2017,15.699999999999992,42.78,57.08
Idaho,2018,17.259999999999998,44.82,55.14
Illinois,2014,21.060000000000002,48.370000000000005,51.61
Illinois,2015,21.560000000000002,48.870000000000005,51.12
Illinois,2016,20.309999999999995,48.16,51.82
Illinois,2017,20.279999999999998,48.65,51.300000000000004
Illinois,2018,22.4,50.38,49.63
Indiana,2014,14.81,41.64,58.39
Indiana,2015,15.229999999999999,42.05,57.95
Indiana,2016,15.749999999999996,43.09,56.910000000000004
